Date,Date,Close,macd,ema_fi
2015-06-01,2015-06-01,5.07,0.0,8893846728.0
2015-06-02,2015-06-02,5.156,0.0017150997151,2321006418.75
2015-06-03,2015-06-03,5.113,6.27756143801e-05,671580474.6
2015-06-04,2015-06-04,5.171,0.00229061232103,303717674.685
2015-06-05,2015-06-05,5.179,0.00327131665682,108116995.83
2015-06-08,2015-06-08,5.306,0.0112286888784,249873529.35
2015-06-09,2015-06-09,5.263,0.0110294911131,32672027.3676
2015-06-10,2015-06-10,5.258,0.00953037603266,8543068.15482
2015-06-11,2015-06-11,5.259,0.00791737221175,3336820.68016
2015-06-12,2015-06-12,5.298,0.0093890590232,22446460.3835
2015-06-15,2015-06-15,5.171,-0.00120556349711,-66842077.9753
2015-06-16,2015-06-16,5.035,-0.0191781645705,-105037544.263
2015-06-17,2015-06-17,5.11,-0.0219723491263,19688773.4771
2015-06-18,2015-06-18,4.909,-0.040815077702,-110325007.89
2015-06-19,2015-06-19,4.603,-0.0784344457338,-257912624.516
2015-06-23,2015-06-23,4.766,-0.0806189606318,105357077.467
2015-06-24,2015-06-24,4.871,-0.0665644029654,129033917.006
2015-06-25,2015-06-25,4.696,-0.0712139952401,-35865418.0904
2015-06-26,2015-06-26,4.346,-0.105110968932,-242792646.208
2015-06-29,2015-06-29,4.182,-0.136167278232,-270601692.744
2015-06-30,2015-06-30,4.484,-0.1145995767,466550045.956
2015-07-01,2015-07-01,4.197,-0.124144475477,-109741422.566
2015-07-02,2015-07-02,4.108,-0.13107941652,-170770959.923
2015-07-03,2015-07-03,3.919,-0.146863143812,-508249806.909
2015-07-06,2015-07-06,4.025,-0.134451350976,178143518.765
2015-07-07,2015-07-07,3.848,-0.136538601383,-339858752.679
2015-07-08,2015-07-08,3.463,-0.171014213838,-538995483.56
2015-07-09,2015-07-09,3.809,-0.14026893665,141551204.813
2015-07-10,2015-07-10,4.189,-0.0659376055227,363789626.938
2015-07-13,2015-07-13,4.234,-0.00678436766345,152230720.979
2015-07-14,2015-07-14,4.154,0.0251900945776,2224538.99309
2015-07-15,2015-07-15,3.945,0.0231858257232,-82953721.3356
2015-07-16,2015-07-16,4.036,0.0353853631747,10796556.8215
2015-07-17,2015-07-17,4.2,0.0644938369622,83811000.8072
2015-07-20,2015-07-20,4.188,0.0815208134045,22420231.4691
2015-07-21,2015-07-21,4.214,0.0944704447561,15641906.7564
2015-07-22,2015-07-22,4.194,0.0984253559633,326319.58545
2015-07-23,2015-07-23,4.308,0.112566309565,39665929.5951
2015-07-24,2015-07-24,4.218,0.107288155275,-11980477.4683
2015-07-27,2015-07-27,3.8,0.049757572102,-145748829.289
2015-07-28,2015-07-28,3.846,0.0191479346975,-25226844.8298
2015-07-29,2015-07-29,3.989,0.0189069651719,41597741.7901
2015-07-30,2015-07-30,3.85,0.00292487950459,-22289978.4033
2015-07-31,2015-07-31,3.851,-0.00481867741159,-7196320.06777
2015-08-03,2015-08-03,3.852,-0.00698469446618,-2252544.02259
2015-08-04,2015-08-04,4.005,0.0133517260087,28088642.1925
2015-08-05,2015-08-05,3.916,0.0166055454731,-12803560.1358
2015-08-06,2015-08-06,3.873,0.0146628986027,-12749500.1786
2015-08-07,2015-08-07,3.953,0.0248870670287,32331137.2738
2015-08-10,2015-08-10,4.148,0.0565442281889,62667780.7579
2015-08-11,2015-08-11,4.099,0.069303646068,11075370.386
2015-08-12,2015-08-12,4.057,0.0702637528494,-7186811.87134
2015-08-13,2015-08-13,4.112,0.0757987663977,14663881.7096
2015-08-14,2015-08-14,4.102,0.0755695957391,1249008.56985
2015-08-17,2015-08-17,4.109,0.0737070507644,2029129.65662
2015-08-18,2015-08-18,3.827,0.0343250612808,-85916649.0478
2015-08-19,2015-08-19,3.915,0.020064630931,6089642.3174
2015-08-20,2015-08-20,3.815,-0.00147968857312,-13525212.5609
2015-08-21,2015-08-21,3.625,-0.0378388224995,-92305884.187
2015-08-24,2015-08-24,3.263,-0.103258649944,-161629118.196
2015-08-25,2015-08-25,2.983,-0.172878511972,-186509722.065
2015-08-26,2015-08-26,3.067,-0.195014039221,-20975153.7551
2015-08-27,2015-08-27,3.257,-0.172348315005,82776467.415
2015-08-28,2015-08-28,3.402,-0.128092635209,82523569.1383
2015-08-31,2015-08-31,3.395,-0.091605246279,26044253.9128
2015-09-01,2015-09-01,3.382,-0.0624530408766,6710520.03759
2015-09-02,2015-09-02,3.372,-0.038904426781,607447.345864
2015-09-07,2015-09-07,3.289,-0.0292858116339,-9679353.68471
2015-09-08,2015-09-08,3.378,-0.00698687261028,8833048.77176
2015-09-09,2015-09-09,3.442,0.0189323914223,10982169.3239
2015-09-10,2015-09-10,3.381,0.029829248123,-472144.82536
2015-09-11,2015-09-11,3.388,0.0393166393648,1032991.25821
2015-09-14,2015-09-14,3.269,0.0313058965536,-15364232.8473
2015-09-15,2015-09-15,3.173,0.0155993256405,-18985327.7491
2015-09-16,2015-09-16,3.345,0.0299616660843,59301861.1503
2015-09-17,2015-09-17,3.28,0.0321846297541,1577119.38343
2015-09-18,2015-09-18,3.279,0.0347558848003,353607.594478
2015-09-21,2015-09-21,3.339,0.0450991690452,10220845.1982
2015-09-22,2015-09-22,3.365,0.0553394322826,7074875.86605
2015-09-23,2015-09-23,3.287,0.0516046215074,-2181406.84465
2015-09-25,2015-09-25,3.243,0.0435190895855,-4024164.14822
2015-09-29,2015-09-29,3.199,0.0330305661243,-3489074.98274
2015-09-30,2015-09-30,3.221,0.0299205331284,-426638.060913
2015-10-08,2015-10-08,3.337,0.0435105906704,8384475.5797
2015-10-09,2015-10-09,3.379,0.0573252834294,5518155.59323
2015-10-12,2015-10-12,3.52,0.0830465859348,20348389.3977
2015-10-13,2015-10-13,3.495,0.0935313571946,4377618.13258
2015-10-14,2015-10-14,3.457,0.0920456674685,-1424803.95581
2015-10-15,2015-10-15,3.546,0.0991186402932,7020182.54806
2015-10-16,2015-10-16,3.595,0.105859283824,9120677.58269
2015-10-19,2015-10-19,3.589,0.104783367496,2558863.0609
2015-10-20,2015-10-20,3.636,0.105385138438,3344982.08697
2015-10-21,2015-10-21,3.527,0.0868703305641,-10937470.2377
2015-10-22,2015-10-22,3.572,0.0767882701049,-726070.412559
2015-10-23,2015-10-23,3.635,0.0746414568572,4788728.12915
2015-10-26,2015-10-26,3.641,0.0701400130538,2317515.90972
2015-10-27,2015-10-27,3.643,0.0637286205083,948820.103239
2015-10-28,2015-10-28,3.579,0.0478911980764,-7126854.09892
2015-10-29,2015-10-29,3.584,0.035669377285,-1971203.36631
2015-10-30,2015-10-30,3.585,0.0257628354487,-590691.255436
2015-11-02,2015-11-02,3.525,0.00998536276082,-10920109.0851
2015-11-03,2015-11-03,3.498,-0.00445731457031,-7623040.36172
2015-11-04,2015-11-04,3.708,0.0129432561538,35427938.5461
2015-11-05,2015-11-05,3.767,0.0300945003641,22537255.3154
2015-11-06,2015-11-06,3.857,0.0500775014925,23388874.4385
2015-11-09,2015-11-09,3.897,0.0642938679989,14510438.1462
2015-11-10,2015-11-10,3.886,0.0674963405204,3809365.78205
2015-11-11,2015-11-11,3.881,0.0642394339089,681405.260684
2015-11-12,2015-11-12,3.841,0.0524919435504,-3625403.57977
2015-11-13,2015-11-13,3.804,0.0363016782625,-4845582.65992
2015-11-16,2015-11-16,3.826,0.0256218207261,401120.446692
2015-11-17,2015-11-17,3.812,0.0143031749137,-1253933.98444
2015-11-18,2015-11-18,3.779,0.000720183540738,-3432976.79481
2015-11-19,2015-11-19,3.836,-0.00208616244903,2659656.80173
2015-11-20,2015-11-20,3.825,-0.00666402639889,13872.4005764
2015-11-23,2015-11-23,3.806,-0.0131180400424,-1106498.39981
2015-11-24,2015-11-24,3.809,-0.0175721179522,-118219.199936
2015-11-25,2015-11-25,3.832,-0.0179466924184,2238956.73335
2015-11-26,2015-11-26,3.814,-0.0209362882004,-775273.888882
2015-11-27,2015-11-27,3.608,-0.0493537712827,-25689879.963
2015-11-30,2015-11-30,3.609,-0.0656886339097,-8427581.85432
2015-12-01,2015-12-01,3.637,-0.0699984414634,2399072.98189
2015-12-02,2015-12-02,3.793,-0.0500495469241,20245642.194
2015-12-03,2015-12-03,3.801,-0.0347161311153,7525423.66465
2015-12-04,2015-12-04,3.729,-0.0332104772739,-4184155.84512
2015-12-07,2015-12-07,3.735,-0.0304200794074,-1080668.21504
2015-12-08,2015-12-08,3.681,-0.0345590848138,-3776914.33835
2015-12-09,2015-12-09,3.686,-0.0352154722664,-944774.779449
2015-12-10,2015-12-10,3.679,-0.0351059032355,-1296584.39315
2015-12-11,2015-12-11,3.661,-0.0358459104898,-2241001.59772
2015-12-14,2015-12-14,3.773,-0.020405981588,14111292.8008
2015-12-15,2015-12-15,3.737,-0.0144769740504,1321861.86692
2015-12-16,2015-12-16,3.738,-0.0100647002599,505419.55564
2015-12-17,2015-12-17,3.808,0.00199512145845,7502200.51855
2015-12-18,2015-12-18,3.822,0.0110641781625,3891255.50618
2015-12-21,2015-12-21,3.922,0.0287344006113,11929258.5021
2015-12-22,2015-12-22,3.927,0.0386788357887,4490247.50069
2015-12-23,2015-12-23,3.922,0.0418951142049,532537.166896
2015-12-24,2015-12-24,3.875,0.0352696529562,-6033343.34437
2015-12-28,2015-12-28,3.778,0.0163608613496,-12756438.1815
2015-12-29,2015-12-29,3.813,0.00755460206124,-684178.393819
2015-12-30,2015-12-30,3.812,0.000930044301814,-320831.131273
2016-01-04,2016-01-04,3.535,-0.0392087217648,-57511297.2438
2016-01-05,2016-01-05,3.527,-0.0638266607032,-21447166.8146
2016-01-06,2016-01-06,3.582,-0.0692395413774,-723350.604862
2016-01-07,2016-01-07,3.484,-0.0817014613946,-5143762.86829
2016-01-08,2016-01-08,3.408,-0.0949341588231,-22403611.6228
2016-01-11,2016-01-11,3.233,-0.120375682917,-61276718.8743
2016-01-12,2016-01-12,3.256,-0.126589882015,-16182989.8914
2016-01-13,2016-01-13,3.211,-0.128817607126,-12895556.9638
2016-01-14,2016-01-14,3.265,-0.115500517077,8190197.81206
2016-01-15,2016-01-15,3.169,-0.112020241434,-16563700.4626
2016-01-18,2016-01-18,3.171,-0.102124449274,-5102178.55421
2016-01-19,2016-01-19,3.262,-0.077134058663,13606590.0819
2016-01-20,2016-01-20,3.169,-0.067301651763,-11369596.5727
2016-01-21,2016-01-21,3.078,-0.0670767480422,-20371982.5909
2016-01-22,2016-01-22,3.108,-0.0572887605477,-1911316.86363
2016-01-25,2016-01-25,3.12,-0.0441867711349,799280.778789
2016-01-26,2016-01-26,2.944,-0.0535890803191,-34782459.4737
2016-01-27,2016-01-27,2.912,-0.0581022190444,-23009357.4246
2016-01-28,2016-01-28,2.849,-0.0631385889156,-17897407.4082
2016-01-29,2016-01-29,2.93,-0.0497155703322,10523081.3306
2016-02-01,2016-02-01,2.898,-0.0397356520039,-54623.0231325
2016-02-02,2016-02-02,2.96,-0.0203487175141,9117116.19229
2016-02-03,2016-02-03,2.946,-0.00573581993905,912618.864096
2016-02-04,2016-02-04,2.985,0.0118964987423,11415581.888
2016-02-05,2016-02-05,2.95,0.021024911663,-7315731.70399
2016-02-15,2016-02-15,2.939,0.0273600348509,-4064063.368
2016-02-16,2016-02-16,3.024,0.0438028870551,14057988.2107
2016-02-17,2016-02-17,3.055,0.0587269777997,9546424.07022
2016-02-18,2016-02-18,3.049,0.0670604438736,2297485.75674
2016-02-19,2016-02-19,3.041,0.070418065355,-361518.081086
2016-02-22,2016-02-22,3.104,0.0793825089963,30659958.373
2016-02-23,2016-02-23,3.08,0.0801060834036,6538710.92432
2016-02-24,2016-02-24,3.103,0.0814427839296,6481984.04144
2016-02-25,2016-02-25,2.905,0.0547007105472,-47440741.0529
2016-02-26,2016-02-26,2.933,0.0404821449544,-7191527.28428
2016-02-29,2016-02-29,2.864,0.0223855514662,-20522569.5614
2016-03-01,2016-03-01,2.918,0.0184550468752,1603393.47952
2016-03-02,2016-03-02,3.049,0.0333954649315,39957901.4265
2016-03-03,2016-03-03,3.042,0.0416908355742,12204546.7422
2016-03-04,2016-03-04,3.079,0.050907290411,15429853.6474
2016-03-07,2016-03-07,3.103,0.0584426353157,10620188.5491
2016-03-08,2016-03-08,3.092,0.059928841874,1420420.04971
2016-03-09,2016-03-09,3.046,0.0529418325519,-7646121.58343
2016-03-10,2016-03-10,3.005,0.0415277571558,-6302757.39448
2016-03-11,2016-03-11,2.999,0.0323098109934,-2736891.93149
2016-03-14,2016-03-14,3.064,0.0339400393147,24136683.3562
2016-03-15,2016-03-15,3.054,0.0326342327172,6091554.45206
2016-03-16,2016-03-16,3.074,0.0333113070427,5866811.48402
2016-03-17,2016-03-17,3.124,0.0389488545808,15621100.4947
2016-03-18,2016-03-18,3.168,0.0465454172141,33624184.1649
2016-03-21,2016-03-21,3.238,0.0581840593277,29340399.3883
2016-03-22,2016-03-22,3.216,0.0598710220849,7303480.1961
2016-03-23,2016-03-23,3.222,0.0586693615961,3445080.1987
2016-03-24,2016-03-24,3.172,0.0484388652446,-10642023.2671
2016-03-25,2016-03-25,3.185,0.0410161906438,-1333591.02237
2016-03-28,2016-03-28,3.155,0.0301607111616,-5518698.34079
2016-03-29,2016-03-29,3.129,0.0181644770496,-10690562.3803
2016-03-30,2016-03-30,3.215,0.0203358558439,14860316.5399
2016-03-31,2016-03-31,3.209,0.0194845952191,3882331.24664
2016-04-01,2016-04-01,3.219,0.018781182821,2997281.74888
2016-04-05,2016-04-05,3.25,0.0208448482409,8048243.84963
2016-04-06,2016-04-06,3.244,0.0197646676374,1553853.94988
2016-04-07,2016-04-07,3.204,0.0123859618534,-5774835.35004
2016-04-08,2016-04-08,3.177,0.0030772953659,-7103460.51668
2016-04-11,2016-04-11,3.212,0.000953318202014,4490649.16111
2016-04-12,2016-04-12,3.208,-0.00153604252652,366769.453702
2016-04-13,2016-04-13,3.249,0.0016231679499,18291370.9512
2016-04-14,2016-04-14,3.261,0.00445205872511,7668134.05041
2016-04-15,2016-04-15,3.264,0.00576675139563,2937737.48347
2016-04-19,2016-04-19,3.222,0.000306722771582,-6772671.77218
2016-04-20,2016-04-20,3.166,-0.0109009397573,-19728153.5241
2016-04-21,2016-04-21,3.151,-0.0198656901713,-9123480.17469
2016-04-22,2016-04-22,3.165,-0.0232079774981,-1609412.7249
2016-04-25,2016-04-25,3.155,-0.0258613576727,-1577116.9083
2016-04-26,2016-04-26,3.173,-0.0243111173684,1036285.1639
2016-04-27,2016-04-27,3.158,-0.0243639509922,-1102104.61203
2016-04-28,2016-04-28,3.156,-0.0237040011195,-560125.404011
2016-04-29,2016-04-29,3.152,-0.0228331324551,-489612.73467
2016-05-03,2016-05-03,3.213,-0.0135273790468,9357598.48844
2016-05-04,2016-05-04,3.201,-0.00870917319928,1643501.89615
2016-05-05,2016-05-05,3.201,-0.00540477969108,547833.965383
2016-05-06,2016-05-06,3.128,-0.0125274962467,-10307138.2782
2016-05-09,2016-05-09,3.064,-0.0246350682152,-17396391.1594
2016-05-10,2016-05-10,3.061,-0.0313904489816,-6025892.85313
2016-05-11,2016-05-11,3.073,-0.0324509767192,-1213018.95104
2016-05-12,2016-05-12,3.084,-0.0299401592724,472050.882985
2016-05-13,2016-05-13,3.073,-0.0280622505213,-509223.305672
2016-05-16,2016-05-16,3.085,-0.0236799077362,712583.698109
2016-05-17,2016-05-17,3.08,-0.0200733930982,-82826.7672968
2016-05-18,2016-05-18,3.06,-0.01901099053,-1617530.25577
2016-05-19,2016-05-19,3.054,-0.0177686565678,-984218.351922
2016-05-20,2016-05-20,3.074,-0.0131196534593,1526183.21603
2016-05-23,2016-05-23,3.079,-0.0084637520967,868091.405342
2016-05-24,2016-05-24,3.06,-0.00709155430797,-936527.598219
2016-05-25,2016-05-25,3.058,-0.00566348754852,-423890.93274
2016-05-26,2016-05-26,3.058,-0.00400708593383,-141296.97758
2016-05-27,2016-05-27,3.06,-0.00202999615307,67147.8074733
2016-05-30,2016-05-30,3.062,4.90792160338e-05,128033.535824
2016-05-31,2016-05-31,3.169,0.0154846860405,35323666.5786
2016-06-01,2016-06-01,3.156,0.0231312160812,10289541.2595
2016-06-02,2016-06-02,3.159,0.0274843044601,3614618.48651
2016-06-06,2016-06-06,3.177,0.031396818937,2184647.62884
2016-06-07,2016-06-07,3.177,0.0324590941696,728215.876279
2016-06-08,2016-06-08,3.173,0.03109468629,49071.9587597
2016-06-13,2016-06-13,3.069,0.0154464011864,-22861035.7471
2016-06-14,2016-06-14,3.082,0.00656369531114,-6102896.84903
2016-06-15,2016-06-15,3.123,0.00594599871424,3284633.78366
2016-06-16,2016-06-16,3.104,0.00286935873029,-16297.8054474
2016-06-17,2016-06-17,3.117,0.00249057384014,1739236.73152
2016-06-20,2016-06-20,3.118,0.00228530833906,634484.510506
2016-06-21,2016-06-21,3.111,0.00117327048845,-463046.163165
2016-06-22,2016-06-22,3.13,0.00286702454553,1331341.07895
2016-06-23,2016-06-23,3.12,0.00252264620711,-218800.973685
2016-06-24,2016-06-24,3.087,-0.0020225032993,-3469634.6579
2016-06-27,2016-06-27,3.126,0.00023200271754,2367955.31404
2016-06-28,2016-06-28,3.142,0.00369407484481,2725200.03801
2016-06-29,2016-06-29,3.156,0.00746784827569,2024125.346
2016-06-30,2016-06-30,3.161,0.0100734239228,984212.448668
2016-07-01,2016-07-01,3.158,0.0107661652599,140537.616223
2016-07-04,2016-07-04,3.211,0.0173467045311,4916157.27207
2016-07-05,2016-07-05,3.219,0.0214895123568,2495862.02402
2016-07-06,2016-07-06,3.235,0.0248593281814,3798020.14134
2016-07-07,2016-07-07,3.239,0.0259797129142,1761145.64711
2016-07-08,2016-07-08,3.227,0.023530087138,-757106.650962
2016-07-11,2016-07-11,3.235,0.0214703380898,323417.783013
2016-07-12,2016-07-12,3.317,0.0291590106621,9530305.661
2016-07-13,2016-07-13,3.324,0.0329156432803,4342696.02033
2016-07-14,2016-07-14,3.319,0.0324041752028,1012805.34011
2016-07-15,2016-07-15,3.323,0.0303192185755,582126.846704
2016-07-18,2016-07-18,3.311,0.0252460578079,-913782.517765
